"","country","corruption","rule_of_law","regulatory_quality","gov_effectiveness","political_stability","voice_accountability","economy","continent","perceived_opportunities","perceived_capabitilities","fear_failure","entrepreneurial_intentions","tea","established_ownership","entrepreneurial_employee_Activity","female_male_tea","high_job_creation_expectation","business_service_sector","high_status_successful_entrepreneurs","entrepreneurship_as_good_carrer_choice"
"1","Pakistan",1.65325933694839,1.83242130279541,1.85552108287811,1.82299530506134,0.253664255142212,1.65664923191071,"Pakistan","Asia",62.3,63,54.2,27.9,3.7,4.72,0.5,0.3,12.5,2.5,87.7,80.2
"2","Iran, Islamic Rep.",1.45203948020935,1.75062787532806,1.07686269283295,1.94649755954742,0.801849365234375,1.12994563579559,"Iran","Asia",47.7,68.9,36.2,37.9,10.7,10.15,2,0.6,46.7,26,86.6,45.3
"3","Egypt, Arab Rep.",1.82978695631027,2.0791540145874,1.67223399877548,2.07646232843399,1.43357944488525,1.0713267326355,"Egypt","Africa",73.5,67.3,54.8,61.6,6.7,1.5,0.2,0.4,37.8,2.6,86.2,80
"4","Colombia",2.27083294093609,2.08307114243507,2.89661210775375,2.57122322171926,1.59974598884583,2.7294834703207,"Colombia","America",46.7,72.4,32.7,35.5,22.3,4.27,0.9,0.9,35.5,13.2,65.4,63.8
"5","Israel",3.3059543967247,3.54759013652802,3.78099524974823,3.82565200328827,1.72147685289383,3.18698638677597,"Israel","Asia",46,43.3,55.4,21.2,12.7,5.45,5.8,0.7,21.7,27.1,84.1,64.2
"6","Mexico",1.67891991138458,1.84189641475677,2.60367979109287,2.34299160540104,1.78542900085449,2.51832827739418,"Mexico","America",62.8,70.7,47.7,16.3,13,1.82,0.2,0.9,23,5.9,67.6,68.1
"7","India",2.26674604415894,2.46924160048366,2.33944429457188,2.67155437171459,1.79723161458969,2.7939892411232,"India","Asia",83.1,85.2,62.4,33.3,15,11.92,0.2,0.7,10.6,2.3,92.3,89.5
"8","Brazil",2.16600152850151,2.31909602880478,2.32220600545406,2.31326204538345,1.95351886749268,2.84442514181137,"Brazil","America",46.4,62,35.6,30.2,23.3,16.16,0.6,1,8.9,7.6,72.3,75.3
"9","Guatemala",1.60157960653305,1.44771122932434,2.27500735223293,1.82315915822983,1.95380908250809,2.18654584884644,"Guatemala","America",67.3,77.4,39.6,52.2,25.1,14.8,1.4,0.8,21.8,9,80.8,94.5
"10","Russian Federation",1.66812682151794,1.77631145715714,2.06837755441666,2.65036487579346,1.95769602060318,1.39991796016693,"Russia","Asia",29.6,35.6,45.2,9.8,9.3,5.09,0.6,0.8,35.8,9.1,73.7,70.8
"11","Armenia",2.31583166122437,2.36872424185276,2.74951532483101,2.43318262696266,1.99358934164047,2.55004274845123,"Armenia","Asia",53.9,70,48.2,32.2,21,7.84,0.6,0.6,30.5,7.6,73.4,87.2
"12","Saudi Arabia",2.77463933825493,2.66855593025684,2.43180514872074,2.80644488334656,2.07200402021408,0.883082866668701,"Saudi Arabia","Asia",73.8,83,41.8,32.3,14,5.35,3.2,1.1,61.9,8.8,79.3,69.7
"13","Swaziland",2.0123273730278,1.99811726808548,1.88772261142731,1.82168304920197,2.12140411138535,1.17876970767975,"Switzerland","Europa",40.7,49.2,23.9,10.7,9.8,11.6,5.4,0.6,28.3,28.1,76.2,40.2
"14","Morocco",2.22346368432045,2.36435087025166,2.28847163915634,2.38077475875616,2.13060164451599,1.8731946349144,"Morocco","Africa",57.7,62.4,42.5,41.9,11.4,7.89,0.3,0.5,12.8,5,68.4,81.5
"15","Jordan",2.62797953188419,2.64395745098591,2.5346093736589,2.59947026520967,2.14213767647743,1.83495485782623,"Jordan","Asia",40.6,61.7,54.4,29.1,9.1,6.55,0.7,0.6,15,5.1,85.2,76.3
"16","Madagascar",1.49063038825989,1.49118673801422,1.76995438337326,1.35754632949829,2.24745243787766,2.27940189838409,"Madagascar","Africa",46.8,73.5,41,44.5,19.5,20.17,0.6,1,7.5,1.3,80.6,94.4
"17","China",2.17650318145752,2.22528138756752,2.25538557767868,3.01825314760208,2.25961744785309,0.887627840042114,"China","Asia",74.9,67.4,44.7,21.4,8.7,9.33,0.2,0.8,19.5,10.6,92.4,79.3
"18","South Africa",2.58492385596037,2.42359232157469,2.65617172420025,2.86738023161888,2.28206914663315,3.17038822174072,"South Africa","Africa",60.4,60.4,49.8,11.9,10.8,3.51,0.4,0.9,30.6,9,82.2,78.8
"19","Ecuador",2.00358909368515,1.92264294624329,1.67638128995895,2.10141581296921,2.31098252534866,2.56094363704324,"Ecuador","America",55.9,78.3,35.1,42.5,36.2,14.69,1.3,0.9,23.8,8.1,71.9,72.3
"20","North Macedonia",2.09053629636765,2.25656366348267,3.00878447294235,2.49751424626447,2.45079949870706,2.49843980418518,"North Macedonia","Europa",50.5,60.9,47.2,20.3,6.2,8,1.6,0.4,30.1,12,68,68
"21","Puerto Rico",2.5130929928273,3.08733981847763,3.23195910453796,2.33572636544704,2.62338312715292,2.99567258358002,"Puerto Rico","America",39.4,55.7,33.2,23.9,13.4,1.25,2.1,0.7,25.5,10.5,55.2,30.7
"22","Chile",3.58845686912537,3.57361316680908,3.72416913509369,3.56042039394379,2.7063824236393,3.51960229873657,"Chile","America",47.6,75.5,58.1,57.6,36.7,10.61,3.6,0.8,36.3,19.9,74.6,74.4
"23","Belarus",2.44046101719141,1.70554220676422,1.95621937513351,2.31666724383831,2.78913021087646,1.09749805927277,"Belarus","Europa",29.5,42.3,38,6.6,5.8,2.72,0.5,0.8,28.2,10.2,69.9,70.3
"24","Greece",2.48818082921207,2.69883795082569,3.02987897396088,2.90559032559395,2.7909984588623,3.43572670221329,"Greece","Europa",49.9,51.6,40.6,12.4,8.2,14.33,1.9,0.9,14.8,18.1,49.3,49.6
"25","United States",3.71532607078552,3.96109366416931,3.84535849094391,3.98918151855469,2.79798582196236,3.46524804830551,"United States","America",67.2,65.5,35.1,13.7,17.4,10.59,6.5,0.9,32.5,30.1,79.7,67.9
"26","Panama",1.92007601261139,2.38096501678228,2.86189696192741,2.56554018706083,2.80680492520332,3.1217132806778,"Panama","America",53.4,72.9,40.8,40.8,22.7,4.66,0.4,0.7,26.2,9.8,74.6,70
"27","Spain",3.14679610729218,3.47905218601227,3.55018973350525,3.49904465675354,2.82287275791168,3.58545315265656,"Spain","Europa",36.1,50.8,48.2,7.4,6.2,6.31,1.7,0.9,9,33.5,57.9,57.3
"28","Latvia",2.98493975400925,3.51392424106598,3.69268560409546,3.60502827167511,2.94884812831879,3.38495147228241,"Latvia","Europa",35.6,57,46.6,23.2,15.4,12.91,4.3,0.6,36.3,23.6,60.3,56.8
"29","Italy",2.73984207212925,2.7801910340786,3.45496308803558,2.96193608641624,2.96269926428795,3.47227013111115,"Italy","Europa",45.1,48.1,27.6,5.4,2.8,4.72,0.7,0.6,12,18.6,13.1,19
"30","Korea, Rep.",3.25673425197601,3.69407081604004,3.56981253623962,3.87641775608063,2.97808814048767,3.27212280035019,"South Korea","Asia",42.9,51.7,7.1,25.7,14.9,13.03,1.4,0.6,21.7,17,86,54.3
